MEbrown,MEblue,MEturquoise,MEgrey
X5,X4,X7,X6
0.03537893,-0.115232187,-0.099314237,0.120116145
0.135948419,-0.048691174,-0.318369732,-0.248790656
0.033816725,0.02658873,0.744068363,0.168314767
0.125219079,-0.07036986,-0.230678578,-0.088037272
-0.127879149,-0.039216183,-0.140705685,0.019842185
0.266147505,-0.197269217,0.032329013,0.395959456
-0.249781712,0.807337406,0.122397324,-0.503256524
-0.104230444,0.220995334,0.275679394,-0.127823639
0.63986926,-0.162117519,0.083319555,0.105451788
-0.140930653,-0.110974515,-0.243596704,0.105467333
0.033418069,-0.112528898,0.020380957,0.048485937
-0.138298042,-0.18454971,-0.213285957,0.228506666
-0.176830078,0.266142597,-0.126017713,-0.416834676
-0.218379698,-0.10716865,0.045826265,0.103576333
-0.132294264,-0.168125053,-0.105579439,0.217849534
0.36776043,-0.146793235,-0.015421567,0.203696171
-0.348934378,0.141972134,0.16896874,-0.332523549
